Inglaterra,1
Estados Unidos da América,2
Alemanha,3
China,4
Portugal,5
Itália,6
Holanda,7
Espanha,8
França,9
Barém,10
Bélgica,11
Bielorrússia,12
Bósnia e Herzegovina,13
Brunei,14
Bulgária,15
Butão,16
Camboja,17
Catar,18
Albânia,19
Andorra,20
Chipre,21
Coreia do Norte,22
Coreia do Sul,23
Cosovo,24
Croácia,25
Cuaite,26
Dinamarca,27
Emiratos Árabes Unidos,28
Eslováquia,29
Eslovénia,30
Áustria,31
Estado da Palestina,32
Estónia,33
Filipinas,34
Finlândia,35
Bangladexe,36
Geórgia,37
Grécia,38
Azerbeijão,39
Hungria,40
Iémen,41
Índia,42
Indonésia,43
Afeganistão,44
Irão,45
Iraque,46
Irlanda,47
Islândia,48
Israel,49
Arménia,50
Japão,51
Jordânia,52
Laus,53
Letónia,54
Líbano,55
Listenstaine,56
Lituânia,57
Luxemburgo,58
Macedónia,59
Malásia,60
Maldivas,61
Malta,62
Mianmar,63
Micronésia,64
Moldávia,65
Mónaco,66
Mongólia,67
Montenegro,68
Nauru,69
Nepal,70
Noruega,71
Omã,72
Paquistão,73
Palau,74
Polónia,75
Arábia Saudita,76
Quirguistão,77
República Checa,78
Roménia,79
Rússia,80
São Cristovão e Neves,81
São Marinho,82
Seicheles,83
Sérvia,84
Singapura,85
Síria,86
Suécia,87
Suécia,88
Suíça,89
Sri Lanca,90
Tailândia,91
Taiuã,92
Tajiquistão,93
Turcomenistão,94
Turquia,95
Ucrânia,96
Usbequistão,97
Vaticano,98
Vietname,99
